,__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,text,twitteratiScore,updatedAt,url,username
10,0,5f74548017087f0017e101bf,3.1135153092103742,59d21e9b83a0523906a45dc5,2020-09-30T09:48:49.294Z,0,"[OwnYourData, OwnYourVoice]",74140.72379308697,1311239287615045635,True,en,[https://app.voice.com/post/@ownyourdata/ownyourdata-ownyourvoice-1601335784-755],"[VoiceHQ, OwnYourDataNow]",2020-09-30T09:39:42.000Z,5,[],"RT @VoiceHQ: #OwnYourData 🤝 #OwnYourVoice

@OwnYourDataNow on Voice: https://t.co/O941gYwPKg https://t.co/PoJnXwEx5k",0,2020-09-30T09:48:49.294Z,https://cryptocontrol.io/r/api/tweet/5f74548017087f0017e101bf?ref=5f963694c3be7e001761fc25,block_one_
11,0,5f731befce717e001a4b732c,1.2809338454620645,59d21e9b83a0523906a45dc5,2020-09-29T11:35:11.385Z,4,[],74135.19778569732,1310904672710868999,False,und,[https://twitter.com/i/web/status/1310904672710868999],"[EOSauthority, DefiboxOfficial, rektkid_, EOS42io, EOS_Nation, eosdublin, EverythingEOSio, EosSweden, eosnodeone]",2020-09-29T11:30:04.000Z,0,[],@EOSauthority @DefiboxOfficial @rektkid_ @EOS42io @EOS_Nation @eosdublin @EverythingEOSio @EosSweden @eosnodeone… https://t.co/PGqsXsTVbh,0,2020-09-29T11:35:11.385Z,https://cryptocontrol.io/r/api/tweet/5f731befce717e001a4b732c?ref=5f963694c3be7e001761fc25,block_one_
12,0,5f722be6e0e2a2001a5f08fe,2.0918640616783932,59d21e9b83a0523906a45dc5,2020-09-28T18:31:05.578Z,4,"[EOS, IBC, EOSIO]",74133.14603072834,1310645323375706119,False,en,[],"[mike_maloney, EverythingEOSio, IvanOnTech]",2020-09-28T18:19:30.000Z,1,[],"Have you seen Dan’s latest interviews with @mike_maloney, @EverythingEOSio, and @IvanOnTech? #EOS, #IBC, #EOSIO and more. (1/4)",0,2020-09-28T18:31:05.578Z,https://cryptocontrol.io/r/api/tweet/5f722be6e0e2a2001a5f08fe?ref=5f963694c3be7e001761fc25,block_one_
13,0,5f722be6e0e2a2001a5f08ff,1.840549633397487,59d21e9b83a0523906a45dc5,2020-09-28T18:31:05.578Z,2,[],74132.8955033371,1310645393718472707,False,en,[https://youtu.be/3LtAvsS8UI4],[],2020-09-28T18:19:47.000Z,1,[],"“There are 68 million actions a day on EOS and 757,000 actions a day on Bitcoin.” - Dan https://t.co/FpacXB32jW (2/4)",0,2020-09-28T18:31:05.578Z,https://cryptocontrol.io/r/api/tweet/5f722be6e0e2a2001a5f08ff?ref=5f963694c3be7e001761fc25,block_one_
14,0,5f722be6e0e2a2001a5f0900,1.6863989535702288,59d21e9b83a0523906a45dc5,2020-09-28T18:31:05.578Z,1,[],74132.74246376837,1310645493870067714,False,en,[https://twitter.com/i/web/status/1310645493870067714],[],2020-09-28T18:20:11.000Z,1,[],"“Fundamentally, the idea is to build a community that is interested in the long-term success of the platform and to… https://t.co/TfDLIx3ukU",0,2020-09-28T18:31:05.578Z,https://cryptocontrol.io/r/api/tweet/5f722be6e0e2a2001a5f0900?ref=5f963694c3be7e001761fc25,block_one_
15,0,5f722be6e0e2a2001a5f0901,0.0,59d21e9b83a0523906a45dc5,2020-09-28T18:31:05.578Z,0,[Ethereum],74131.07064814815,1310646818737446914,False,en,[https://twitter.com/i/web/status/1310646818737446914],[],2020-09-28T18:25:26.000Z,0,[],"“Everything that’s on #Ethereum can be implemented on EOS in a far better way because the programming environment,… https://t.co/VkHiuejTt4",0,2020-09-28T18:31:05.578Z,https://cryptocontrol.io/r/api/tweet/5f722be6e0e2a2001a5f0901?ref=5f963694c3be7e001761fc25,block_one_
16,0,5f6de5c7c2e70100177801f7,2.9391619220655967,59d21e9b83a0523906a45dc5,2020-09-25T12:42:47.260Z,6,"[SmartContracts, EOSIO]",74121.03180081096,1309471050707750912,False,en,[https://twitter.com/i/web/status/1309471050707750912],[],2020-09-25T12:33:21.000Z,3,[],We’ve updated our tic-tac-toe tutorial guide. Now it’s even easier to learn how to build #SmartContracts on #EOSIO.… https://t.co/XUZRi7k1M4,0,2020-09-25T12:42:47.260Z,https://cryptocontrol.io/r/api/tweet/5f6de5c7c2e70100177801f7?ref=5f963694c3be7e001761fc25,block_one_
17,0,5f6d5385f59ef90017434415,4.143134726391533,59d21e9b83a0523906a45dc5,2020-09-25T02:18:45.725Z,0,"[EOS, dApps, dApp]",74120.0529958375,1309273293808164868,True,en,[],[LimeChainHQ],2020-09-24T23:27:33.000Z,14,[],RT @LimeChainHQ: Are you an #EOS #dApps developer who wants to build a fully workable #dApp? Then check out our expert guide 📗 on how thing…,0,2020-09-25T02:18:45.725Z,https://cryptocontrol.io/r/api/tweet/5f6d5385f59ef90017434415?ref=5f963694c3be7e001761fc25,block_one_
18,0,5f6dde4304b61d0019cf031a,0.0,59d21e9b83a0523906a45dc5,2020-09-25T12:10:43.166Z,0,"[SmartContracts, EOSIO]",74118.02902777778,1309465284399562753,False,en,[https://twitter.com/i/web/status/1309465284399562753],[],2020-09-25T12:10:27.000Z,0,[],We’ve updated our tic-tac-toe tutorial guide. Now it’s even easier to learn how to build #SmartContracts on #EOSIO.… https://t.co/8YFw1v5qKY,0,2020-09-25T12:10:43.166Z,https://cryptocontrol.io/r/api/tweet/5f6dde4304b61d0019cf031a?ref=5f963694c3be7e001761fc25,block_one_
19,0,5f6b81009901e9001b3553d7,2.6026896854443837,59d21e9b83a0523906a45dc5,2020-09-23T17:08:16.487Z,5,[blockchain],74113.43968042619,1308813710987755523,False,en,[https://twitter.com/i/web/status/1308813710987755523],[],2020-09-23T17:01:19.000Z,2,[],Hydra is helping to scale #blockchain technology with easy-to-use tools for verifying smart contracts. More here.… https://t.co/J5AU5NGU6y,0,2020-09-23T17:08:16.487Z,https://cryptocontrol.io/r/api/tweet/5f6b81009901e9001b3553d7?ref=5f963694c3be7e001761fc25,block_one_
